annee,total_points,part_ve
2015,320863,0.01302782240041577
2016,474252,0.015625483088179612
2017,650944,0.01646176612356432
2018,864176,0.016989264438198134
2019,1130507,0.023491987970670168
2020,1775527,0.08506343102673798
2021,3000227,0.13706555132727596
2022,4437923,0.2059067008945613
2023,6442133,0.23751869583068883
