annee,part_ve
2010,5.422690023066206e-06
2011,0.00020870412343857464
2012,0.0021887594984306273
2013,0.004325403489324566
2014,0.00471677942678108
2015,0.01302782240041577
2016,0.015625483088179612
2017,0.01646176612356432
2018,0.016989264438198134
2019,0.023491987970670168
2020,0.08506343102673798
2021,0.13706555132727596
2022,0.2059067008945613
2023,0.23751869583068883
